Feature,ANOVA_F_Score
concave points_worst,733.7249325739485
perimeter_worst,717.2464871041401
radius_worst,692.8613952605672
concave points_mean,684.5268452011402
perimeter_mean,548.4132358502831
area_worst,522.1889466673216
radius_mean,511.2748478447981
area_mean,444.8575181970803
concavity_mean,397.59208176499965
concavity_worst,319.507776200972
compactness_mean,263.5643259368056
compactness_worst,238.20372483361558
radius_se,205.43320636942482
perimeter_se,193.16893112206884
area_se,180.56122943323345
texture_worst,126.11911288350794
smoothness_worst,103.72326527181319
symmetry_worst,100.5593965318927
texture_mean,93.48147989712324
concave points_se,87.5060890764345
smoothness_mean,80.56729114790694
symmetry_mean,59.72846767257008
fractal_dimension_worst,53.90558586211801
compactness_se,40.032884150007234
concavity_se,24.72075276286339
fractal_dimension_se,2.2526472187393
smoothness_se,1.4586834446916714
id,1.0488112953469266
texture_se,0.020111913717381406
symmetry_se,0.018732846891768337
fractal_dimension_mean,0.01387410162406009
