Feature,RandomForest_Importance
area_worst,0.13101702512563032
perimeter_worst,0.13027222184225334
concave points_worst,0.10321108150306729
radius_worst,0.0978127449328104
concave points_mean,0.08739877194954598
area_mean,0.058379505228713435
perimeter_mean,0.04838446823542658
concavity_worst,0.047795196408282115
area_se,0.041852134172599566
concavity_mean,0.03661346471925424
radius_mean,0.027601469523670152
compactness_mean,0.023417835285355685
symmetry_worst,0.0179196389193614
compactness_worst,0.014970707915137438
radius_se,0.014738836281150327
texture_mean,0.014707768625644838
perimeter_se,0.013539377698507781
smoothness_worst,0.012516423925514395
texture_worst,0.012515984106866744
smoothness_mean,0.007900419536034445
fractal_dimension_worst,0.007212447639433101
concavity_se,0.006968895602703972
texture_se,0.00657659949851162
fractal_dimension_se,0.006367726407819202
compactness_se,0.005114629516723317
concave points_se,0.004925730703318659
symmetry_se,0.004372077787786072
fractal_dimension_mean,0.004238206795790536
smoothness_se,0.003981832163946217
id,0.0038393078061853686
symmetry_mean,0.003837470142955446
